id,location,coordinates
1687183549.0,USA,"(39.7837304, -100.445882)"
1688370956.0,"Georgia, USA","(32.3293809, -83.1137366)"
1690487623.0,USA,"(39.7837304, -100.445882)"
1691736218.0,"Los Angeles, CA","(34.0536909, -118.242766)"
1692501152.0,"Los Angeles, CA","(34.0536909, -118.242766)"
1694026190.0,United States,"(39.7837304, -100.445882)"
1695830984.0,United States,"(39.7837304, -100.445882)"
1699979024.0,"Texas, USA","(31.2638905, -98.5456116)"
1701955429.0,"Baltimore, MD","(39.2908816, -76.610759)"
1710804738.0,United States,"(39.7837304, -100.445882)"
1715190968.0,USA,"(39.7837304, -100.445882)"
1715424829.0,United States,"(39.7837304, -100.445882)"
1716228906.0,USA,"(39.7837304, -100.445882)"
1716561367.0,USA,"(39.7837304, -100.445882)"
1720117201.0,USA,"(39.7837304, -100.445882)"
1720981580.0,USA,"(39.7837304, -100.445882)"
1768259989.0,"USA, Atlanta","(33.7489924, -84.3902644)"
1833223908.0,USA,"(39.7837304, -100.445882)"
1856828959.0,"Florida, USA","(27.7567667, -81.4639835)"
1859674386.0,US,"(17.789187, -64.7080574)"
1868496344.0,USA,"(39.7837304, -100.445882)"
1868981054.0,United States,"(39.7837304, -100.445882)"
1914760610.0,NYC,"(40.7127281, -74.0060152)"
2233297178.0,"Москва, Россия","(55.625578, 37.6063916)"
2388391757.0,"Москва, Россия","(55.625578, 37.6063916)"
2415525154.0,"Москва, Россия","(55.625578, 37.6063916)"
2419886435.0,Мурманск,"(68.970665, 33.07497)"
2422793627.0,Санкт-Петербург,"(59.938732, 30.316229)"
2491081213.0,USA,"(39.7837304, -100.445882)"
2492948562.0,USA,"(39.7837304, -100.445882)"
2494509505.0,"Калининград, Россия","(54.710128, 20.5105838)"
2495567768.0,"San Francisco, CA","(37.7790262, -122.419906)"
2498271878.0,United States,"(39.7837304, -100.445882)"
2501947239.0,"Москва, Россия","(55.625578, 37.6063916)"
2504171440.0,Москва,"(55.625578, 37.6063916)"
2512420407.0,"Калуга, Россия","(54.5101087, 36.2598115)"
2514979491.0,Я везде,"(61.2749463, 47.0421773)"
2524942055.0,"Москва, Россия","(55.625578, 37.6063916)"
2525032463.0,"Ярославль, Россия","(57.6263877, 39.8933705)"
